"[29.090270955236818, -0.17069029124359572]","[29.090270955236818, -0.16170659294354162]","[29.08128760943671, -0.16170659294354162]","[29.08128760943671, -0.17069029124359572]"
"[29.090270955236818, -0.19764139006751935]","[29.090270955236818, -0.18865769176746525]","[29.08128760943671, -0.18865769176746525]","[29.08128760943671, -0.19764139006751935]"
"[29.108237646837033, -0.19764139050322369]","[29.108237646837033, -0.18865769176746525]","[29.099254301036925, -0.18865769176746525]","[29.099254301036925, -0.19764139050322369]"
"[29.000437497235744, -0.2245924867169583]","[29.000437497235744, -0.21560879059138888]","[28.991454151435637, -0.21560879059138888]","[28.991454151435637, -0.2245924867169583]"
"[29.00942084303585, -0.23357618654207854]","[29.00942084303585, -0.22459249019936342]","[29.000437497235744, -0.22459249019936342]","[29.000437497235744, -0.23357618654207854]"
"[29.01840418883596, -0.2335761867592915]","[29.01840418883596, -0.22459249019936342]","[29.00942084303585, -0.22459249019936342]","[29.00942084303585, -0.2335761867592915]"
"[29.072304263636603, -0.2335761880639823]","[29.072304263636603, -0.22459249019936342]","[29.063320917836496, -0.22459249019936342]","[29.063320917836496, -0.2335761880639823]"
"[29.000437497235744, -0.2605272851488565]","[29.000437497235744, -0.25154358902328705]","[28.991454151435637, -0.25154358902328705]","[28.991454151435637, -0.2605272851488565]"
"[28.9465374224351, -0.2695109834553698]","[28.9465374224351, -0.26052728863126157]","[28.937554076634992, -0.26052728863126157]","[28.937554076634992, -0.2695109834553698]"
"[28.928570730834885, -0.3054457814539857]","[28.928570730834885, -0.29646208706315963]","[28.919587385034777, -0.29646208706315963]","[28.919587385034777, -0.3054457814539857]"
"[28.928570730834885, -0.3144294810619602]","[28.928570730834885, -0.30544578667113415]","[28.919587385034777, -0.30544578667113415]","[28.919587385034777, -0.3144294810619602]"
"[29.08128760943671, -0.4132501804411567]","[29.08128760943671, -0.4042664823588538]","[29.072304263636603, -0.4042664823588538]","[29.072304263636603, -0.4132501804411567]"
